City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
20,Atuona,PF,78.33,light rain,-9.8,-139.0333,Villa Enata
24,Lorengau,PG,81.79,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
25,Mogadishu,SO,85.05,clear sky,2.0371,45.3438,Hotel Juba
26,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
27,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Yining,CN,75.25,overcast clouds,29.0361,114.5636,Xiushui Hotel
29,Sibolga,ID,78.37,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
31,La Primavera,CO,82.63,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
34,Hithadhoo,MV,84.06,few clouds,-0.6,73.0833,Scoop Guest House
40,Kihei,US,75.85,light rain,20.785,-156.4656,Maui Sunset
43,Kawalu,ID,73.65,broken clouds,-7.3817,108.2082,West Jontor
56,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
57,Moroni,KM,82.13,moderate rain,-11.7022,43.2551,Hotel les Arcades
59,Buala,SB,80.65,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
60,Los Boquerones,PA,80.11,overcast clouds,8.0833,-80.85,Lago Limon Resort
67,Rikitea,PF,78.66,few clouds,-23.1203,-134.9692,People ThankYou
70,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
72,Tezu,IN,73.87,clear sky,27.9167,96.1667,Circuit House
78,Prachuap Khiri Khan,TH,74.53,light rain,12.2167,99.75,ผกากรองรีสอร์ท
82,Axim,GH,87.4,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
84,Imbituba,BR,73.81,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
87,Victoria,HK,80.19,clear sky,22.2855,114.1577,Mini Hotel Central
88,Tshikapa,CD,88.41,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
89,Richards Bay,ZA,79.07,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
90,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
92,Labuhan,ID,80.4,scattered clouds,-6.8844,112.2051,DoubleFAG
93,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
95,Hambantota,LK,81.64,overcast clouds,6.1241,81.1185,Bungalow 63
99,Nishihara,JP,72.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
101,Akyab,MM,82.56,clear sky,20.15,92.9,Hotel Memory
105,Trairi,BR,83.79,overcast clouds,-3.2778,-39.2689,janelas do mar
106,Itapeva,BR,73.49,overcast clouds,-23.9822,-48.8756,Grand Hotel Itapeva
113,Wadi Maliz,TN,82.06,clear sky,36.4681,8.5495,HOPITAL
115,Arraial Do Cabo,BR,82.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
123,Naliya,IN,85.24,clear sky,23.2667,68.8333,jadeja jayendrasinh
124,Bagaces,CR,78.73,overcast clouds,10.5271,-85.2548,Cabinas Tamarindo Bagaces
133,Bosaso,SO,86.61,clear sky,11.2842,49.1816,Red Sea Hotel
135,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
137,Abha,SA,80.42,few clouds,18.2164,42.5053,Abha Hotel
138,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
139,Bulawayo,ZW,80.92,broken clouds,-20.15,28.5833,4 On Housman Backpackers
149,Cape Town,ZA,81.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
151,Inhambane,MZ,87.78,few clouds,-23.865,35.3833,Oceano
152,Punta Cardon,VE,80.06,overcast clouds,11.6581,-70.215,Bambuda hotel
153,Cap-Haitien,HT,78.75,few clouds,19.7578,-72.2042,Habitation Jouissant
155,Muhoroni,KE,85.73,broken clouds,-0.1541,35.1988,Rosa Gardens Hotel -Muhoroni
158,Lazaro Cardenas,MX,73.11,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
159,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Namibe,AO,86.38,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
165,San Patricio,US,75.88,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
166,Butaritari,KI,80.64,light rain,3.0707,172.7902,Isles Sunset Lodge
176,Mareeba,AU,74.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
177,Kailua,US,75.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
178,Kendari,ID,77.7,overcast clouds,-3.945,122.4989,Hotel Wixel
