City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,77.16,94,20,8.05,few clouds
1,Georgetown,MY,5.4112,100.3354,85.95,74,20,2.3,few clouds
2,Airai,TL,-8.9266,125.4092,61.2,92,100,2.44,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,46.06,57,75,8.05,broken clouds
4,Castro,BR,-24.7911,-50.0119,71.73,79,77,10.54,light rain
5,Barrow,US,71.2906,-156.7887,5.02,66,100,13.8,overcast clouds
6,Jamestown,US,42.097,-79.2353,47.52,71,100,10.36,overcast clouds
7,Lulea,SE,65.5842,22.1547,41.07,56,0,5.75,clear sky
8,Laguna,US,38.421,-121.4238,39.34,80,0,0.0,clear sky
9,Pangnirtung,CA,66.1451,-65.7125,10.4,72,75,0.0,broken clouds
10,Tasiilaq,GL,65.6145,-37.6368,28.56,64,94,2.93,overcast clouds
11,Okhotsk,RU,59.3833,143.3,15.08,93,96,3.83,overcast clouds
12,Busselton,AU,-33.65,115.3333,61.05,71,0,14.97,clear sky
13,Mataura,NZ,-46.1927,168.8643,51.48,90,69,4.88,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.11,66,40,24.16,light rain
15,Hobart,AU,-42.8794,147.3294,56.01,75,20,4.61,few clouds
16,Saint George,US,37.1041,-113.5841,45.19,29,20,19.57,few clouds
17,Chuy,UY,-33.6971,-53.4616,67.64,64,2,9.01,clear sky
18,Albany,US,42.6001,-73.9662,51.4,89,100,12.06,light rain
19,Bluff,NZ,-46.6,168.3333,51.8,64,59,18.77,broken clouds
20,Atuona,PF,-9.8,-139.0333,78.33,79,28,16.8,light rain
21,Carnarvon,AU,-24.8667,113.6333,71.67,68,0,14.97,clear sky
22,Sokone,SN,13.8833,-16.3667,95.68,18,25,4.59,scattered clouds
23,Qaqortoq,GL,60.7167,-46.0333,37.74,40,100,14.29,overcast clouds
24,Lorengau,PG,-2.0226,147.2712,81.79,74,10,6.42,clear sky
25,Mogadishu,SO,2.0371,45.3438,85.05,67,5,14.83,clear sky
26,Oistins,BB,13.0667,-59.5333,84.29,58,20,19.57,few clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,78.55,94,56,1.99,broken clouds
28,Yining,CN,29.0361,114.5636,75.25,68,100,3.02,overcast clouds
29,Sibolga,ID,1.7427,98.7792,78.37,87,57,2.33,broken clouds
30,Husum,DE,54.4858,9.0524,59.99,57,100,15.68,overcast clouds
31,La Primavera,CO,5.4906,-70.4092,82.63,66,99,4.88,overcast clouds
32,Ode,NG,7.7899,5.7117,92.57,38,87,8.97,overcast clouds
33,Zheleznodorozhnyy,RU,55.7503,38.0042,51.35,93,100,9.1,overcast clouds
34,Hithadhoo,MV,-0.6,73.0833,84.06,67,11,11.18,few clouds
35,Saldanha,ZA,-33.0117,17.9442,68.43,63,21,11.16,few clouds
36,Illapel,CL,-31.6308,-71.1653,61.63,56,91,3.89,overcast clouds
37,Yelniki,RU,54.6207,43.876,56.71,69,100,9.82,overcast clouds
38,Batagay,RU,67.6333,134.6333,6.75,96,100,1.74,overcast clouds
39,Agropoli,IT,40.3469,14.9966,67.08,48,99,4.54,overcast clouds
40,Kihei,US,20.785,-156.4656,75.85,79,20,10.36,light rain
41,Hermanus,ZA,-34.4187,19.2345,71.35,63,6,7.38,clear sky
42,Lasa,IT,46.6166,10.7002,60.69,73,44,3.42,scattered clouds
43,Kawalu,ID,-7.3817,108.2082,73.65,93,65,0.65,broken clouds
44,Kutum,SD,14.2,24.6667,93.94,7,0,6.02,clear sky
45,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,50,0,12.66,clear sky
46,Maldonado,UY,-34.6667,-54.9167,65.59,56,0,9.31,clear sky
47,Chokurdakh,RU,70.6333,147.9167,1.31,94,100,4.41,overcast clouds
48,Najran,SA,17.4924,44.1277,97.45,9,19,18.28,few clouds
49,Sistranda,NO,63.7256,8.834,44.56,67,100,3.78,overcast clouds
50,Port Alfred,ZA,-33.5906,26.891,68.18,82,100,5.99,overcast clouds
51,Hualmay,PE,-11.0964,-77.6139,67.96,82,32,9.48,scattered clouds
52,Lompoc,US,34.6391,-120.4579,44.78,65,0,18.99,clear sky
53,Leh,IN,34.1667,77.5833,41.34,57,96,7.54,overcast clouds
54,Hasaki,JP,35.7333,140.8333,57.6,88,6,14.07,clear sky
55,Moose Factory,CA,51.2585,-80.6094,39.2,70,100,20.71,overcast clouds
56,Cayenne,GF,4.9333,-52.3333,82.09,1,0,4.61,clear sky
57,Moroni,KM,-11.7022,43.2551,82.13,76,99,2.44,moderate rain
58,Saskylakh,RU,71.9167,114.0833,-5.89,100,100,2.3,overcast clouds
59,Buala,SB,-8.145,159.5921,80.65,80,91,5.21,overcast clouds
60,Los Boquerones,PA,8.0833,-80.85,80.11,67,100,3.56,overcast clouds
61,Kuytun,RU,54.3419,101.5036,28.17,62,100,3.67,overcast clouds
62,Taldan,RU,53.6667,124.8,25.29,60,66,4.92,broken clouds
63,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,71,20,11.5,few clouds
64,Geraldton,AU,-28.7667,114.6,63.01,88,0,5.75,clear sky
65,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,73,20,11.41,few clouds
66,Anuchino,RU,43.9622,133.0544,35.04,84,100,2.08,overcast clouds
67,Rikitea,PF,-23.1203,-134.9692,78.66,71,14,18.97,few clouds
68,Cuiluan,CN,47.72,128.648,31.59,61,6,2.91,clear sky
69,Torbay,CA,47.6666,-52.7314,37.27,82,100,31.07,light intensity drizzle
70,Avarua,CK,-21.2078,-159.775,78.85,89,75,4.61,broken clouds
71,Dikson,RU,73.5069,80.5464,26.94,93,100,13.87,overcast clouds
72,Tezu,IN,27.9167,96.1667,73.87,69,0,4.45,clear sky
73,Fort Nelson,CA,58.8053,-122.7002,6.39,66,75,4.61,broken clouds
74,Bell Ville,AR,-32.6259,-62.6887,63.81,47,22,3.33,few clouds
75,Iqaluit,CA,63.7506,-68.5145,10.13,85,100,8.05,mist
76,Lincoln,US,40.8,-96.667,53.17,86,100,13.0,overcast clouds
77,Honghu,CN,29.8206,113.4621,65.07,87,100,16.04,light rain
78,Prachuap Khiri Khan,TH,12.2167,99.75,74.53,88,56,4.07,light rain
79,Qaanaaq,GL,77.484,-69.3632,0.59,79,99,0.49,overcast clouds
80,Deputatskiy,RU,69.3,139.9,1.2,94,100,4.16,overcast clouds
81,Nelson Bay,AU,-32.7167,152.15,66.0,93,100,6.78,light rain
82,Axim,GH,4.8699,-2.2405,87.4,63,100,10.2,overcast clouds
83,Larsnes,NO,62.2028,5.5773,46.0,52,100,2.08,overcast clouds
84,Imbituba,BR,-28.24,-48.6703,73.81,95,100,5.23,moderate rain
85,Sydney,AU,-33.8679,151.2073,64.36,84,40,11.5,scattered clouds
86,Lop Buri,TH,14.7981,100.654,91.15,55,44,7.4,light rain
87,Victoria,HK,22.2855,114.1577,80.19,87,0,1.99,clear sky
88,Tshikapa,CD,-6.4167,20.8,88.41,52,93,3.89,overcast clouds
89,Richards Bay,ZA,-28.783,32.0377,79.07,61,45,5.73,scattered clouds
90,Kapaa,US,22.0752,-159.319,73.72,93,100,14.97,overcast clouds
91,Katsuura,JP,35.1333,140.3,62.15,92,1,11.88,clear sky
92,Labuhan,ID,-6.8844,112.2051,80.4,75,43,2.57,scattered clouds
93,Kahului,US,20.8947,-156.47,75.85,78,20,10.36,few clouds
94,Ribeira Grande,PT,38.5167,-28.7,63.0,88,40,10.36,scattered clouds
95,Hambantota,LK,6.1241,81.1185,81.64,80,91,12.08,overcast clouds
96,New Norfolk,AU,-42.7826,147.0587,54.66,58,48,3.0,scattered clouds
97,Saint-Augustin,CA,51.226,-58.6502,34.27,83,9,14.83,clear sky
98,Lebu,CL,-37.6167,-73.65,53.33,73,100,14.85,overcast clouds
99,Nishihara,JP,26.1842,127.7558,72.68,92,40,11.5,scattered clouds
100,Port-Cartier,CA,50.0334,-66.8654,37.62,89,100,2.84,overcast clouds
101,Akyab,MM,20.15,92.9,82.56,75,3,10.16,clear sky
102,Silopi,TR,37.2497,42.4694,63.77,43,7,5.23,clear sky
103,Rorvik,NO,64.8621,11.2373,42.78,77,21,8.01,few clouds
104,Lagos,NG,6.5833,3.75,86.95,63,100,6.6,overcast clouds
105,Trairi,BR,-3.2778,-39.2689,83.79,71,100,4.05,overcast clouds
106,Itapeva,BR,-23.9822,-48.8756,73.49,82,100,7.45,overcast clouds
107,Ahipara,NZ,-35.1667,173.1667,62.2,79,100,14.09,light rain
108,Vardo,NO,70.3705,31.1107,31.87,74,46,25.14,scattered clouds
109,Tuatapere,NZ,-46.1333,167.6833,49.5,77,28,8.93,scattered clouds
110,Mount Gambier,AU,-37.8333,140.7667,48.24,82,0,5.12,clear sky
111,Saint Anthony,US,45.0205,-93.218,45.1,60,75,10.36,broken clouds
112,Klaksvik,FO,62.2266,-6.589,41.92,84,100,23.91,overcast clouds
113,Wadi Maliz,TN,36.4681,8.5495,82.06,24,7,10.63,clear sky
114,Khatanga,RU,71.9667,102.5,0.37,94,100,7.11,overcast clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,20,16.11,few clouds
116,Northam,GB,51.0333,-4.2167,57.65,88,100,12.24,overcast clouds
117,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,81,100,8.28,overcast clouds
118,Hillsborough,US,37.5741,-122.3794,46.18,70,20,12.66,haze
119,Fortuna,US,40.5982,-124.1573,39.65,95,100,6.91,overcast clouds
120,Villa Carlos Paz,AR,-31.4241,-64.4978,60.39,44,63,3.0,light rain
121,Huarmey,PE,-10.0681,-78.1522,67.98,85,29,7.52,scattered clouds
122,Naze,JP,28.3667,129.4833,68.92,93,13,6.85,few clouds
123,Naliya,IN,23.2667,68.8333,85.24,60,0,17.31,clear sky
124,Bagaces,CR,10.5271,-85.2548,78.73,60,100,14.45,overcast clouds
125,Narsimhapur,IN,22.95,79.2,101.08,13,100,4.99,overcast clouds
126,Narsaq,GL,60.9167,-46.05,41.22,36,100,15.79,overcast clouds
127,Poiana Teiului,RO,47.1,25.9667,49.35,50,100,6.08,overcast clouds
128,Marsa Matruh,EG,31.3525,27.2453,61.81,51,5,18.21,clear sky
129,Ostrovnoy,RU,68.0531,39.5131,34.72,83,51,18.92,broken clouds
130,Brae,GB,60.3964,-1.353,43.52,70,100,18.97,overcast clouds
131,Sitka,US,57.0531,-135.33,33.69,32,40,6.91,scattered clouds
132,Balkanabat,TM,39.5108,54.3671,90.86,11,2,12.97,clear sky
133,Bosaso,SO,11.2842,49.1816,86.61,57,0,6.85,clear sky
134,Nieuwpoort,BE,51.1244,2.7735,69.24,52,75,11.5,broken clouds
135,Mahebourg,MU,-20.4081,57.7,80.26,78,40,13.8,scattered clouds
136,Saint-Honore,CA,48.5334,-71.0824,38.59,94,100,1.79,overcast clouds
137,Abha,SA,18.2164,42.5053,80.42,21,20,11.5,few clouds
138,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,40,13.8,light rain
139,Bulawayo,ZW,-20.15,28.5833,80.92,30,84,5.91,broken clouds
140,Broome,US,42.2506,-75.833,52.2,85,75,7.0,broken clouds
141,Kapoeta,SS,4.7717,33.5903,95.54,28,79,10.2,broken clouds
142,Pacific Grove,US,36.6177,-121.9166,46.51,72,0,5.01,clear sky
143,Haines Junction,CA,60.7522,-137.5108,-0.45,85,9,1.14,clear sky
144,Zonguldak,TR,41.25,31.8333,47.25,50,54,11.92,broken clouds
