City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Clyde River,70.4692,-68.5914,3.43,78,75,6.91,CA,2022-04-11 18:16:18
1,Susanville,40.4163,-120.653,39.67,77,88,21.0,US,2022-04-11 18:16:19
2,Punta Arenas,-53.15,-70.9167,51.91,54,40,20.71,CL,2022-04-11 18:16:19
3,Esperance,-33.8667,121.9,63.12,90,100,11.56,AU,2022-04-11 18:16:20
4,Atuona,-9.8,-139.0333,78.89,79,22,16.6,PF,2022-04-11 18:12:02
5,Mataura,-46.1927,168.8643,48.47,99,100,2.59,NZ,2022-04-11 18:16:21
6,Sitka,57.0531,-135.33,37.29,20,20,21.85,US,2022-04-11 18:16:22
7,Terney,45.0503,136.6092,39.04,98,100,3.85,RU,2022-04-11 18:16:23
8,Ushuaia,-54.8,-68.3,46.06,71,40,25.32,AR,2022-04-11 18:16:23
9,Puerto Madero,14.7208,-92.4215,93.4,43,40,9.22,MX,2022-04-11 18:16:24
10,Jinka,5.65,36.65,64.49,88,87,2.06,ET,2022-04-11 18:16:25
11,Pochutla,15.7432,-96.4661,89.82,38,30,10.22,MX,2022-04-11 18:16:25
12,Cabo San Lucas,22.8909,-109.9124,83.61,57,20,19.57,MX,2022-04-11 18:16:26
13,Portland,45.5234,-122.6762,41.49,94,100,6.91,US,2022-04-11 18:13:40
14,Saint-Philippe,-21.3585,55.7679,74.79,85,88,17.22,RE,2022-04-11 18:16:26
15,Rikitea,-23.1203,-134.9692,79.12,71,0,17.67,PF,2022-04-11 18:16:27
16,Luangwa,-15.6167,30.4167,73.09,76,96,1.1,ZM,2022-04-11 18:16:28
17,New Norfolk,-42.7826,147.0587,49.71,60,64,1.01,AU,2022-04-11 18:16:28
18,Xining,36.6167,101.7667,38.14,39,35,3.24,CN,2022-04-11 18:16:29
19,Kirakira,-10.4544,161.9205,79.32,82,57,4.97,SB,2022-04-11 18:16:29
20,Mahebourg,-20.4081,57.7,77.29,83,40,11.5,MU,2022-04-11 18:16:30
21,Sept-Iles,50.2001,-66.3821,46.92,39,40,11.5,CA,2022-04-11 18:16:31
22,Bambous Virieux,-20.3428,57.7575,77.25,83,40,11.5,MU,2022-04-11 18:16:31
23,Albany,42.6001,-73.9662,57.63,36,33,4.9,US,2022-04-11 18:12:55
24,Vardo,70.3705,31.1107,33.78,93,100,2.3,NO,2022-04-11 18:16:33
25,Cape Town,-33.9258,18.4232,73.27,58,0,5.01,ZA,2022-04-11 18:11:48
26,Vaini,-21.2,-175.2,75.36,100,75,2.3,TO,2022-04-11 18:16:33
27,Provideniya,64.3833,-173.3,21.97,92,99,11.25,RU,2022-04-11 18:16:34
28,Sinnamary,5.3833,-52.95,80.08,83,92,12.86,GF,2022-04-11 18:16:35
29,Hermanus,-34.4187,19.2345,67.95,62,0,3.58,ZA,2022-04-11 18:16:35
30,Salalah,17.0151,54.0924,82.49,83,0,3.44,OM,2022-04-11 18:16:36
31,Svetlyy,54.675,20.1347,37.45,75,13,2.21,RU,2022-04-11 18:16:36
32,Klaksvik,62.2266,-6.589,40.12,71,100,23.91,FO,2022-04-11 18:16:37
33,Yulara,-25.2406,130.9889,71.44,28,75,6.91,AU,2022-04-11 18:16:37
34,Narsaq,60.9167,-46.05,41.22,42,82,15.75,GL,2022-04-11 18:16:37
35,Hobart,-42.8794,147.3294,50.05,74,75,8.05,AU,2022-04-11 18:14:36
36,Kysyl-Syr,63.8986,122.7617,-2.45,100,81,2.44,RU,2022-04-11 18:16:38
37,Hilo,19.7297,-155.09,84.27,79,100,4.61,US,2022-04-11 18:16:39
38,Poltavka,54.3663,71.7632,40.37,54,94,11.5,RU,2022-04-11 18:16:39
39,Port Hedland,-20.3167,118.5667,77.05,88,15,8.05,AU,2022-04-11 18:16:40
40,Georgetown,5.4112,100.3354,80.53,89,20,3.44,MY,2022-04-11 18:16:40
41,Norfolk,42.1668,-71.2495,63.55,38,0,9.22,US,2022-04-11 18:16:40
42,Bluff,-46.6,168.3333,48.79,83,100,12.28,NZ,2022-04-11 18:16:41
43,Tiznit,29.5833,-9.5,62.8,57,49,5.88,MA,2022-04-11 18:16:41
44,Melton Mowbray,52.7659,-0.8869,55.56,58,100,13.78,GB,2022-04-11 18:17:42
45,Porto Nacional,-10.7081,-48.4172,89.6,49,1,1.81,BR,2022-04-11 18:17:42
46,Te Anau,-45.4167,167.7167,48.47,96,100,3.6,NZ,2022-04-11 18:17:43
47,Longyearbyen,78.2186,15.6401,8.44,66,0,10.36,SJ,2022-04-11 18:17:43
48,Tuktoyaktuk,69.4541,-133.0374,-5.8,71,20,5.75,CA,2022-04-11 18:17:44
49,Gisborne,-38.6533,178.0042,54.68,86,94,6.42,NZ,2022-04-11 18:13:10
50,Storforshei,66.4043,14.5233,35.38,64,20,8.05,NO,2022-04-11 18:17:44
51,Zeya,53.75,127.2667,25.79,80,100,4.29,RU,2022-04-11 18:17:45
52,Manokwari,-0.8667,134.0833,76.68,89,100,11.3,ID,2022-04-11 18:17:45
53,Avarua,-21.2078,-159.775,75.25,94,20,1.14,CK,2022-04-11 18:17:46
54,Lucapa,-8.4192,20.7447,71.91,75,91,1.19,AO,2022-04-11 18:17:46
55,Bredasdorp,-34.5322,20.0403,66.06,76,0,2.33,ZA,2022-04-11 18:17:47
56,Ugoofaaru,5.6667,73.0,85.06,73,18,10.74,MV,2022-04-11 18:17:47
57,Khatanga,71.9667,102.5,-18.02,100,92,1.97,RU,2022-04-11 18:17:48
58,Tomatlan,19.9333,-105.25,94.55,29,12,8.97,MX,2022-04-11 18:17:48
59,Saskylakh,71.9167,114.0833,-13.95,100,96,2.35,RU,2022-04-11 18:17:49
60,Kismayo,-0.3582,42.5454,82.69,81,55,13.04,SO,2022-04-11 18:17:49
61,Chuy,-33.6971,-53.4616,74.23,78,92,11.9,UY,2022-04-11 18:17:49
62,Skibbereen,51.55,-9.2667,53.11,96,100,17.31,IE,2022-04-11 18:17:50
63,Rocha,-34.4833,-54.3333,73.62,77,99,12.88,UY,2022-04-11 18:14:26
64,Nelson Bay,-32.7167,152.15,71.01,96,57,13.49,AU,2022-04-11 18:15:04
65,Laguna,38.421,-121.4238,59.29,91,100,21.85,US,2022-04-11 18:17:51
66,Hirara,24.8,125.2833,73.85,88,2,13.29,JP,2022-04-11 18:17:52
67,Port Alfred,-33.5906,26.891,65.17,92,100,5.01,ZA,2022-04-11 18:17:52
68,Upernavik,72.7868,-56.1549,15.93,92,100,8.03,GL,2022-04-11 18:16:56
69,Salvador,13.8333,-88.9167,87.04,29,43,2.04,SV,2022-04-11 18:14:19
70,Vastseliina,57.7303,27.2932,38.12,75,63,4.14,EE,2022-04-11 18:17:53
71,Hobe Sound,27.0595,-80.1364,80.01,56,40,12.66,US,2022-04-11 18:17:53
72,Codrington,-38.2667,141.9667,57.0,56,99,7.83,AU,2022-04-11 18:17:54
73,Busselton,-33.65,115.3333,57.04,85,8,9.17,AU,2022-04-11 18:17:54
74,Bonnyville,54.2668,-110.735,20.52,64,100,17.38,CA,2022-04-11 18:17:54
75,Thompson,55.7435,-97.8558,28.56,64,100,5.75,CA,2022-04-11 18:17:55
